
--강의평가
--강의평가고유번호, 평가내용, 평가점수, 개설과목고유번호, 수강신청고유번호
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 6, 14);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 6, 15);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 6, 16);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 6, 17);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 6, 18);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 6, 19);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 6, 20);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 6, 21);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 6, 22);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 6, 23);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 6, 24);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 6, 25);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 6, 26);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 6, 27);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 6, 28);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 6, 29);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 6, 30);

--현재1강의실, 1과목 (30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '이해잘되게 세세하게 설명해주셔서 너무 좋았습니다.', 10, 13, 61);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '비전공자가 따라가기에 진도가 조금 빨랐습니다ㅜㅜ', 9, 13, 62);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 13, 63);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰시간은 아주 유용한거 같아요!', 10, 13, 64);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '단축키같은 좋은 정보를 다 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 13, 65);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '응용문제는 아직 해결하는데 어려움이 있지만 실력이 많이 좋아졌어요!', 10, 13, 66);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 8시간씩 나가다보니까 복습없이는 따라가기 힘들거같아요', 9, 13, 67);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 13, 68);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '자세히 알려주시는데도 따라가기가 벅찼습니다ㅜ', 9, 13, 69);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '첫 과목이 끝났는데 쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 13, 70);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 친절히 설명해주셔서 너무 좋았습니다.', 10, 13, 71);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 조금 빨랐습니다ㅜㅜ', 9, 13, 72);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 13, 73);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰하면서 실력이 많이 좋아진거같아요!', 10, 13, 74);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '알고있으면 좋을만한 정보들을 많이 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 13, 75);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '응용문제는 아직 해결하는데 어려움이 있지만 실력이 많이 좋아졌어요!', 10, 13, 76);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 진도를 많이 나가서 한번 놓치면 따라가기 힘든것 같아요', 10, 13, 77);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 13, 78);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 따라가기가 벅찼습니다ㅜ', 8, 13, 79);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 13, 80);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '설명을 잘해주셔서 따라가기에 어려움이 없었습니다', 10, 13, 81);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '비전공자가 따라가기에 진도가 조금 빨랐습니다ㅜㅜ', 9, 13, 82);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '질문할때마다 잘 답변해주셔서 수업 이해하기가 좋았습니다!', 10, 13, 83);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '코드리뷰하면서 다양한 시각을 가지게 되는거 같아요!', 10, 13, 84);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '단축키같은 좋은 정보를 다 알려주셔서 너무 좋았습니다ㅎㅎ', 10, 13, 85);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '적응 못할 때 좋은 얘기 많이 해주셔서 무사히 첫 과목 잘 마친거 같아요!', 10, 13, 86);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '매일 8시간씩 나가다보니까 복습없이는 따라가기 힘들거같아요', 10, 13, 87);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '선생님이 시키시는대로만 했는데 실력이 아주 좋아진거 같습니다!!ㅎ', 10, 13, 88);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '자세히 알려주시는데도 따라가기가 벅찼습니다ㅜ', 10, 13, 89);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '첫 과목이 끝났는데 쌍용교육센터 오길 잘했단 생각이 듭니다!', 10, 13, 90);

--현재1강의실 2과목(30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 14, 61);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 14, 62);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 14, 63);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 14, 64);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 14, 65);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 14, 66);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 14, 67);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 14, 68);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 14, 69);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 14, 70);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 14, 71);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 14, 72);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 14, 73);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 14, 74);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 14, 75);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 14, 76);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 14, 77);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 14, 78);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 14, 79);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 14, 80);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '오라클은 자바보다 더 어렵네요 ㅜㅜ', 10, 14, 81);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '두번째 과목은 더 빨리 지나가버린 거 같아요', 10, 14, 82);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 조금 힘들었습니다', 9, 14, 83);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '데이터베이스도 자세히 알려주셔서 많이 배운거 같습니다!', 10, 14, 84);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '항상 좋은 얘기 해주셔서 힘 얻으며 수업 잘 받고있습니다.', 10, 14, 85);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용은 이해하기 어려웠지만 진도 속도도 좋았고 질문하면 친절하게 알려주셔서 좋았습니다!. ', 10, 14, 86);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념부분보다 실습하는 부분에 초점을 맞춰서 실무에 적용할 때 유용할것 같습니다.', 10, 14, 87);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '프로젝트 기간이 짧아서 힘들었습니다', 7, 14, 88);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습문제를 질문하면 답을 바로주기보다 방향을 알려주셔서 혼자공부하기 좋았습니다.', 10, 14, 89);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '조별로 프로젝트를 하는것 보다 개인으로 진행하고싶습니다. 강의는 좋았습니다.', 9, 14, 90);

--현재1강의실 3과목(30명)
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 15, 61);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 15, 62);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 15, 63);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 15, 64);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 15, 65);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 15, 66);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 15, 67);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 15, 68);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 15, 69);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 15, 70);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 15, 71);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 15, 72);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 15, 73);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 15, 74);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 15, 75);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 15, 76);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 15, 77);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 15, 78);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 15, 79);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 15, 80);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도가 빨라서 따라가기 어려지만 구현하는 실습때는 충분한 시간을 주셔서 좋았습니다.', 9, 15, 81);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하는 컴퓨터가 렉이 많이 걸려서 진도 따라가기 어려웠습니다.', 7, 15, 82);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '내용이 너무어려워서 배우는 기간이 너무 짧은것 같습니다.', 8, 15, 83);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '저는 포기해야할까요..  실습이 부족한건지 프로젝트 준비가 매우 벅찼습니다.', 7, 15, 84);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '짧은 시간인대도 불구하고 선생님 강의실력이 좋아서 좋은 결과물을 낼 수 있었습니다.', 10, 15, 85);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습보다 개념부분 설명이 더 길었으면 좋겠습니다.', 9, 15, 86);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '진도 속도도 좋았고, 설명도 좋아서 공부하기 편했습니다.', 10, 15, 87);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습할때 모바일 강의도 포함돼서 혼자 공부하기 좋았습니다.', 10, 15, 88);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '개념이해도 완벽하게 되었고 기사시험공부할 때 도움이 많이 되었습니다.', 10, 15, 89);
INSERT INTO tblCourseSurvey VALUES(courseSurveySeq.nextVal, '실습하기 재밌었고 선생님께서 일일히 봐주셔서 도움이 많이 되었습니다.', 10, 15, 90);
